event,Mw,PGA,GWT,y,crit_FS,crit_depth,qc1Ncs_crit,Ic_crit,sev_crit,n_liq_layers,LPI,crit_FS_capped
Hyogoken-Nambu,6.9,0.45,2.6,1,0.2724719795116518,6.69,65.02770621626402,2.5400380016252253,83.58711489874305,1105,16.80142136338692,0.2724719795116518
Kocaeli,7.51,0.4,1.72,1,0.2921181585757551,7.8,89.01304504482611,1.8374092829501274,72.1745175178097,486,18.277072496835874,0.2921181585757551
Loma Prieta,6.93,0.22,2.5,0,0.4654889670605341,18.92,60.848976526449036,1.7149349585848088,138.32605749101074,964,16.84837550203539,0.4654889670605341
Loma Prieta,6.93,0.22,1.9,1,0.45081525272579426,12.020000000000001,65.79139283050296,2.348575156643236,96.47058124557262,876,16.514349206022768,0.45081525272579426
Loma Prieta,6.93,0.22,1.8,1,0.4461934829233257,19.29,51.85172253678159,1.7924128477754497,154.75900671721027,647,11.687762713503894,0.4461934829233257
Loma Prieta,6.93,0.22,2.7,0,0.6722273560998526,3.9699999999999998,66.57289492240021,2.011939206977107,56.33820547152705,388,1.4678161201470596,0.6722273560998526
Loma Prieta,6.93,0.22,2.1,1,0.487342970892716,19.19,62.085387696277934,1.9241692930347456,155.08911701970234,755,13.494626902605425,0.487342970892716
Edgecumbe,6.6,0.27,1.2,1,0.40362767625814405,6.2,74.60751042782009,1.7926761055987988,53.948491823488176,1375,16.78897442010394,0.40362767625814405
Northridge,6.69,0.8,3.4,1,0.18755766048624076,10.870000000000001,86.11671139891386,1.830847790187082,130.1395416848954,1024,15.581626847842514,0.18755766048624076
Chi-Chi,7.62,0.6,3.2,1,0.16027058312183778,12.46,51.50110105732222,1.8291141111245692,135.21656918285393,601,18.600229171155938,0.16027058312183778
Chi-Chi,7.62,0.6,3.2,0,0.17490826849929603,16.03,66.05797480027996,2.5542993516990413,161.35039503422956,1085,29.065307935804242,0.17490826849929603
Chi-Chi,7.62,0.6,1.4,1,0.16287911009428624,4.09,59.1695258169283,2.5944835144040725,36.90842552876111,668,29.94501204987705,0.16287911009428624
